    Z      	  a(m)    	   a'    	  b(m) 	   b'
3.11E-4	1.900209E-4	1.340882E-4	1.900209E-4	1.340882E-4
3.12E-4	1.90021E-4	1.345193E-4	1.90021E-4	1.345193E-4
3.13E-4	1.900211E-4	1.349504E-4	1.900211E-4	1.349504E-4
3.14E-4	1.900213E-4	1.353815E-4	1.900213E-4	1.353815E-4
3.15E-4	1.900214E-4	1.358126E-4	1.900214E-4	1.358126E-4
3.16E-4	1.900215E-4	1.362437E-4	1.900215E-4	1.362437E-4
3.17E-4	1.900217E-4	1.366748E-4	1.900217E-4	1.366748E-4
3.18E-4	1.900218E-4	1.371059E-4	1.900218E-4	1.371059E-4
3.19E-4	1.900219E-4	1.37537E-4	1.900219E-4	1.37537E-4
3.2E-4	1.900221E-4	1.379681E-4	1.900221E-4	1.379681E-4
3.21E-4	1.900222E-4	1.383992E-4	1.900222E-4	1.383992E-4
3.22E-4	1.900224E-4	1.388303E-4	1.900224E-4	1.388303E-4
3.23E-4	1.900225E-4	1.392614E-4	1.900225E-4	1.392614E-4
3.24E-4	1.900226E-4	1.396925E-4	1.900226E-4	1.396925E-4
3.25E-4	1.900228E-4	1.401236E-4	1.900228E-4	1.401236E-4
3.26E-4	1.900229E-4	1.405547E-4	1.900229E-4	1.405547E-4
3.27E-4	1.900231E-4	1.409858E-4	1.900231E-4	1.409858E-4
3.28E-4	1.900232E-4	1.414169E-4	1.900232E-4	1.414169E-4
3.29E-4	1.900233E-4	1.41848E-4	1.900233E-4	1.41848E-4
3.3E-4	1.900235E-4	1.422791E-4	1.900235E-4	1.422791E-4
3.31E-4	1.900236E-4	1.427102E-4	1.900236E-4	1.427102E-4
3.32E-4	1.900238E-4	1.431412E-4	1.900238E-4	1.431412E-4
3.33E-4	1.900239E-4	1.435723E-4	1.900239E-4	1.435723E-4
3.34E-4	1.90024E-4	1.440034E-4	1.90024E-4	1.440034E-4
3.35E-4	1.900242E-4	1.444345E-4	1.900242E-4	1.444345E-4
3.36E-4	1.900243E-4	1.448656E-4	1.900243E-4	1.448656E-4
3.37E-4	1.900245E-4	1.452967E-4	1.900245E-4	1.452967E-4
3.38E-4	1.900246E-4	1.457278E-4	1.900246E-4	1.457278E-4
3.39E-4	1.900248E-4	1.461589E-4	1.900248E-4	1.461589E-4
3.4E-4	1.900249E-4	1.4659E-4	1.900249E-4	1.4659E-4
3.41E-4	1.900251E-4	1.47021E-4	1.900251E-4	1.47021E-4
3.42E-4	1.900252E-4	1.474521E-4	1.900252E-4	1.474521E-4
3.43E-4	1.900254E-4	1.478832E-4	1.900254E-4	1.478832E-4
3.44E-4	1.900255E-4	1.483143E-4	1.900255E-4	1.483143E-4
3.45E-4	1.900257E-4	1.487454E-4	1.900257E-4	1.487454E-4
3.46E-4	1.900258E-4	1.491765E-4	1.900258E-4	1.491765E-4
3.47E-4	1.90026E-4	1.496075E-4	1.90026E-4	1.496075E-4
3.48E-4	1.900261E-4	1.500386E-4	1.900261E-4	1.500386E-4
3.49E-4	1.900263E-4	1.504697E-4	1.900263E-4	1.504697E-4
3.5E-4	1.900264E-4	1.509008E-4	1.900264E-4	1.509008E-4
3.51E-4	1.900266E-4	1.513319E-4	1.900266E-4	1.513319E-4
3.52E-4	1.900267E-4	1.51763E-4	1.900267E-4	1.51763E-4
3.53E-4	1.900269E-4	1.52194E-4	1.900269E-4	1.52194E-4
3.54E-4	1.90027E-4	1.526251E-4	1.90027E-4	1.526251E-4
